	cuizhaoyan	T386615	T4511947	T4546812	T4708931	T4771295	T4885622	T4978370	T5309201	T5356332	T5383979	T5392952	T5402558	T5404288	T5406460	T5407014	T5407024	T5411329	T5411337	T5412670	T5413224	T5414072	T5415755	T5415787	T5416619	T5418386	T5424389	T5425858	T5426822	T5427019	T5430860	T5433863	T5434631	T5436097	T5444043	T5445007	T5445301	T5450212	T5450491	T5453600	T5455039	T5462005	T5468269	T5468282	T5471149	T5513320	T5558516	T5558703	T5559825	T5564869	T5581107	T5581599	T5584547
4efd511126fa3e41d1a4474510729c09	0.0002854	0	0.000535588	0.006746384	0.000529952	0.000136273	0	0.000182957	0.000401647	0	0	0.009651658	0	0	6.10E-05	0.001120681	0.009246033	0.002529022	0	0	0.037547735	0.025360991	0.041117447	0.000122993	0.032670318	0.066059566	0	0	0.01539039	0.023630752	0	0.001026263	0.002968601	0	0.00167283	0.094337484	6.27E-05	0.000207005	0	0.000146794	0.009271523	0	0.002892317	0.000176384	0	0	0.004648321	0.000281959	0	0.000119691	0	0.058501998	0.063947843
0bb4892a57bd48f10a30bdd4585832d5	0	0.004467979	0.002505786	0.003615577	0	0	0	0	0	0	0.004542109	0	0.00026014	0	0	0	0	0	0	0.000482202	0	0	0	0	0	0	0.000519065	0	0	0	0.262511628	0.003203185	0	0	0.000510653	0	0	0	0	0.125990857	0	0	0	0	0	0	0	0	0	0	0	0	0.00044389
8516c59e441f6bd89200d5965e7265e8	0	0	0	0	0.005469859	0	0	0	0	0	0	0	0	0	0	0	0.020050386	0.014759536	0.000477213	0	0	0.001636981	0.019586789	0	0.006630153	0.002985743	0.00084348	0	0.003996644	0.016698144	0	0.000513132	0.000777016	0	0.29679521	0.005479245	0	0.000310508	0	0	0.001766004	0	0.000574755	0	0.002233694	0	0	0	0	0	0	0.002500967	0.003800805
62fb22da0b41808e4759577c001dc83b	0	0	0	0	0	0.053146548	0.001202673	0.035554562	0.116000602	0	0.000462622	0	0.000380205	0	0.000467356	0	0.002233592	0	0.000532276	0	0.000868949	0	0.005331754	0	0.001561449	0	0	0	0.00097156	0	0.001099366	0	0.001753267	0.000417284	0	0	0.000517533	0.030947255	0.063184417	0.00041941	0.000949227	0.001033338	0.000482053	0	0	0	0	0	0.050680055	0.114584372	0.001600634	0	0
93ed35f0fe40a5c024d90d8077c8f4b3	0	0	0	0	0	0	0	0	0	0	0.000546735	0	0	0	0	0	0	0	0	0.335595088	0	0	0.000777547	0	0	0.00041054	0.000627203	0.000492883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000440542	0	0
5a68e011aa7e99ccb90e312c2033e787	0	0	0.000401691	0	0	0	0	0	0	0	0.004079487	0	0	0.334127152	0	0	0.001272628	0	0	0	0	0	0.000684982	0	0.001081003	0	0	0	0	0	0	0	0.003147912	0.000287782	0	0	0	0	0	0	0	0.000711479	0.000222486	0.000372366	0	0	0	0	0.002304574	0	0	0	0
2a3a2e09c29f502117adca56ebdae0ae	0.000591185	0.159670509	0.000631229	0	0.078943882	0	0	0	0	0	0	0	0	0.002487299	0.007132262	0	0.002415396	0.047512438	0.001486702	0.00092996	0	0.003396125	0.002332642	0	0.001032959	0.000914384	0.016437053	0	0	0.001381915	0.002959831	0	0.006016895	0	0.002430005	0	0.001568283	0	0	0	0.012715232	0.001219677	0	0	0.001340216	0	0.000436462	0.004966816	0	0	0	0.002191569	0.000887779
cf4e62a63a730c21676a54af0c6a3e79	0	0	0	0.004726509	0	0	0.00013363	0	0	0	0	0.008108373	0	0	0	0	0.007583825	0.001699834	0.000146835	0	0.03258558	0.022355787	0.031287026	0	0.026232344	0.053295514	0	0	0.012497792	0.020636602	0	0.000855219	0.002350972	2.88E-05	0.001126959	0.073308519	0	0	0.000193817	0	0.007041943	0.0001694	0.001946752	0	0.000496376	0.000145843	0.004190036	0	0	0	0	0.044269692	0.051602164
dc8dbeae91369aa2f2c5ec6eef16ec09	0.001243528	0	0	0	0	0.037911204	0.002293987	0.028236299	0.129405563	0.000583149	0	0	0	0	0	0	0.002155676	0	0	0	0.000594544	0.001197195	0.00061093	0	0	0.000503844	0	0	0.000507861	0	0.00055814	0	0.00085671	0	0	0	0	0.033410615	0.141704623	0	0	0.002388535	0	0.000156786	0	0	0	0	0.040844462	0.010293443	0	0	0
21315e806d3cd9c83fb376197ec24099	0	0	0	0	0	0.042217438	0.001024499	0.030065864	0.089868461	0	0	0	0	0	0	0.000601847	0.002389424	0.000518242	0	0	0	0	0.004072867	0	0	0	0	0	0	0.000575798	0.000710359	0	0.00171342	0	0	0.000944697	0	0.024157489	0.051337339	0	0	0	0	0.000842724	0.000521195	0	0	0	0.042037902	0.088212412	0	0	0
